p_id,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15,word_16,word_17,word_18,word_19,word_20
12,toaster,bread,grocery store,fantastic mr. fox,badger,hockey,sports,ball,turf,feet,nail polish,smelly,b.0.,deodorant,summer,heat,sex,music,friends,beds
120,toaster,bread,crust,muffins,breakfast,eggs,bacon,pigs,farm,cows,milk,cheese,cream,bagels,new york,usa,flag,firework,fourth of july,america
121,toaster,toast,burned,butter,honey,sticky,sweet,crunchy,granola,hungry,lunch,pizza,cheese,family,happiness,home,cozy,love,heart,life
122,toaster,bread,jelly,puppet,elmo,kids,laughter,happy,smile,sunshine,rainbow,skittles,smoothie,peach,beach,ball,sand,volleyball,crab,towel
123,toaster,bread,jam,music,talent,star,astrophysics,intelligence,education,college,hard,rock,magma,volcano,explosion,color,red,blood,mosquitos,pain
124,toaster,bread,toast,penut butter,butter,pan,eggs,siracha,spicy,salsa,fork,plate,dirty,apartment,broom,dust,bunny,grass,tiger,stripes
125,toaster,toast,eggs,bacon,pancakes,hungry,children,homeless,people,nation,politics,news,reporting,television,watch,time,clock,wall,class,study
126,toaster,poster,boaster,pride,hubris,alien,pizza,fries,dining,bad,night,late,good,pancakes,waffles,accident,ruined,laughing,crying,leave
127,toaster,toast,bread,wheat,grain,field,ham,cow,horse,ride,car,bus,airplane,helicopter,army,navy,soldier,war,bad,good
128,toaster,toast,butter,fridge,peanut butter,sandwich,ramen,soup,bowl,tub,soap,shower,body,muscle,rod,moat,cow,grass,green,blue
129,toaster,toast,bread,flour,flower,grass,dirt,earth,moon,sun,hydrogen,helium,light,dark,sight,mind,body,bodied,smash,peach
13,toaster,bread,jelly,plug,electricity,appliance,food,breakfast,eggs,butter,burnt,black,cord,chrome,orange juice,bagel,cream cheese,cinnamon,panera,toast
130,toaster,bread,butter,salt,pepper,spices,cinnamon,pumpkin,latte,cappuccino,espresso,coffee,awake,asleep,tired,busy,leisure,games,board,nail
131,toaster,breakfast,egg,chicken,sandwich,lunch,class,russian,language,speak,hear,ear,nose,smell,well,health,shot,gun,bullet,war
132,toaster,toast,bread,electronic,kitchenware,toaster oven,morning toast,food,unsure,burnt,burned,crunchy,yummy,cheap,quick,convenient,necessity,essential,crayon,sparkle nails
133,toaster,bread,heat,microwave,cook,holocaust,death,extermination,rats,teeth,eyes,red,yellow,orange,apple,jam,strawberry,tomato,pizza,mozzarella
134,toaster,food,eat,jam,steven,universe,buds,friends,family,love,trust,stars,eyes,childlike,faith,song,rock,sunglasses,bright,ukelele
135,toaster,bread,food,cooking,kitchen,home,house,room,furniture,chair,sofa,side table,coffee table,coffee,milk,cup,mug,cookie,dessert,sweets
136,toaster,jam,bread,food,microwave,store,pan,butter,metal,silver,breakfast,morning,egg,bagel,sink,kitchen,plate,coffee,tea,cup
137,toaster,toasted bread,brioche bread,french food,crepes,eclairs,whole foods,mozzarella,burratta,basil,juice,coconut water,coconuts,hawaii,molokai,that 20lb coconut that are tired,beaches,dreams,parties,sunsets
138,toaster,bread,butter,pancakes,syrup,wafflehouse,cookout,hamburger,buns,lettuce,guacamole,chipotle,lunch,dinner,party,drink,alcohol,shots,songs,clubs
139,toaster,bread,butter,slick,slippery,frictionless,falling,gravity,apple,fruit,meals,hunger,appetite,lunch,friends,society,comfort,sleep,dreams,pursuit
14,toaster,bread,sandwich,grilled,cooking,tacos,mexico,spanish,south america,brazil,sununga,skim boarding,dewey,beach,ocean,sea,saltwater,life,time,endless
140,toaster,bread,block,butter,milk,cow,spot,white,shirt,person,shorts,shoes,socks,underwear,red,blue,unc,ram,heel,horns
141,toaster,bread,sandwich,ham,turkey,thanksgiving,pilgrims,colony,charter,school,grade,test,exam,study,books,reading,writing,pencil,paper,sheet
142,toaster,toast,jelly,peanut butter,sandwich,lunch,dinner,meal,food,pizza,cheese,cow,pasture,farm,barn,owl,mouse,rat,subway,train
143,toaster,toast,little toaster that cooled,butter,breakfast,eggs,bacon,sausage,potatoes,cooking,chef,job,dentist,college,money,job,car,truck,barn,horse
144,toaster,bread,butter,noodles,spaghetti,meatball,pork,beef,chicken,chipotle,burrito,salsa,cheese,macaroni,elbow,arm,leg,limbs,body,blood
145,toaster,toast,bread,cobra,chief,cebron,crust,butter,donkey,brown,pink,india,america,cuba,black,cool,nice,soft,weak,awesome
146,toaster,bread,butter,bagel,jelly,peanut,popcorn,movie,soda,candy,cars,light,dark,colors,noise,lightening,stroke,smoke,monsters,yelling
147,toaster,burnt,split,lightning,grease,slick,sick,nature,ocean,glacier,green,teeth,tongue,fork,novel,fall,cell,bass,river,man
148,toaster,bread,butter,butt,boat,nemo,fish,jellyfish,food,sharks,beach,north carolina,mountains,raleigh,boyfriend,home,food,rice,indian,curry
149,toaster,toast,food,ski,mountain,self,tree,fat,whale,blubber,harpoon,skates,paperclip,electricity,hut,teacher,stress,third,fourth,glasses
15,toaster,bread,toast,microwave,heat,electrons,chemistry,science,life,world,sun,religion,god,buddha,theory,math,proof,evidence,support,writing
150,toaster,hot,bread,plug,metal,knife,spoon,jelly,jam,butter,margarine,toast,burnt,grape,strawberry,peach,electricity,bathtub,think,toasty
151,toaster,bread,toast,butter,mayo,ketchup,mustard,seed,tree,green,blue,sky,ground,electric,currents,water,boarding,plane,ticket,money
152,toaster,bread,butter,milk,cow,farm,rooster,crow,halloween,october,fall,leaves,trees,forest,hiking,colorado,state,country,president,obama
153,toaster,bread,sandwich,grilled cheese,butter,heart attack,death,heaven,angels,wings,butterfly,caterpillar,leaf,bug,shoe,socks,cold,blanket,bed,sleep
154,toaster,bread,tomato,ketchup,pizza,cheese,cow,black,white,milk,wheat,barley,drugs,marijuana,baseball,t-shirt,potato,fries,locusts,grass
155,toaster,trash,bread,butter,rice,tofu,broccoli,mushrooms,bagel,pan,water,bowls,mom,table,pot,spatula,spoon,chopstick,walrus,hands
156,toaster,bread,jam,strawberry,grape,banana,yellow,asian,korean,cell phone,internet,game,drug,smoke,sky,blue,sea,crab,scissor,paper
157,toaster,bread,panini,mozzarella,essay,english,spanish,medicine,chemistry,octagon,stop,red,crayon,kindergarten,apple,caramel,mocha,recipe,enchilada,fajita
158,toaster,bread,bagel,crispy,chips,potatoes,steak,refrigerator,appliances,microwave,popcorn,movies,theater,play,actor,script,writer,book,series,reading
159,toaster,oven,convection,conduction,radiation,radiator,air conditioning,cool,warm,heat,heart,health,friends,people,community,city,county,state,country,continent
16,toaster,toast,bread,blender,butter,cheese,kitchen,counter,fridge,black,hot,cold,sandwich,bagel,oven,burnt,toasted,brown,crispy,warm
160,toaster,oven,cookie,delicious,hungry,thirsty,water,rain,hurricane,school,homework,stress,sleepy,nap,trees,pit,man,green,leaves,wet
161,toaster,bread,butter,jam,strawberry,microwave,peanut butter,burnt,food,cook,sandwich,sports,toast,jelly,oven,cheese,grape,strawberry,sweet,breakfast
162,toaster,bread,jam,butter,milk,cow,farm,pig,corn,field,workers,money,exploitation,poverty,shambles,dirt,rocks,river,fish,birds
163,toaster,handle,black,desk,strawberry,leaf,textbook,carpet,linoleum,restroom,chipped,paper,destructive,felsic,stripped,chalk,paint,lettuce,coffee,pink
164,toaster,toasty,toasted,weed,wimbledon,tennis,star,muscles,man,manic,maniac,dress,drag queen,dragon,dracula,vampire,halloween,costume,cad,trashy
165,toaster,bread,poptart,butter,peanut butter,bagel,pumpkin,fall,christmas,sweaters,winter,holidays,parties,presents,stockings,candy,chocolate,cookies,baking,frosting
166,toaster,toast,bread,winner,loser,medal,metal,rock,concert,microphone,stage,play,baseball,leather,jacket,wind,power,strength,weakness,character
167,toaster,toast,crust,earth,planet,moon,red,blue,color,rainbow,cloud,rain,gray,wet,soak,drip,water,clean,fresh,crisp
168,toaster,butter,bread,jam,jelly,grape,strawberry,lemon,orange,banana,apple,tree,plant,leaf,flower,bee,pollen,allergies,vaccines,needles
169,toaster,energy,jobs,resume,business,unc,sports,basketball,dunking,pool,floaties,dinosaur,meteor,space,jupiter,boys,girls,school,recess,manhunt
17,toaster,silver,glitter,shine,gleam,glimmer,gloss,floss,teeth,white,pearly,ocean,dive,beach,speech,preach,pit,carolina,blue,skew
170,toaster,butter,bread,orange,apple,banana,monkey,ape,animals,plants,flowers,daisy,stems,green,plant,purple,pink,blue,color,rainbow
171,toaster,bread,hungry,ramen,kimchi,korea,america,americano,macchiato,sweet,sugar,ketchup,red,blue,ocean,summer,summerroll,pho,vietnam,thai
172,toaster,toast,bread,butter,mill,farmers,animals,plants,nature,green,colors,roygbiv,sciences,school,work,life,eternity,interest,hobbies,fun
173,toaster,bagel,circle,hole,munchkin,small,big,large,tower,skyscraper,industry,magnate,tycoon,typhoon,hurricane,storm,thunder,lightning,loud,quiet
174,toaster,bread,carbs,energy,tired,healthy,fruit,vegetables,plants,animals,humans,life,happy,sad,blue,yellow,red,color,tones,art production
175,toaster,titan,take,drugs,head,baked,out,cook,drive,weed,coke,sheet,in,dry,book,woods,birds,red,feathers,bark
176,toaster,bread,jam,dance,love,bird,turtle,wisdom,virtue,arcade,stars,galaxy,chocolate,almonds,coconut,sand,volcano,lava,sharkboy,disney
177,toaster,bread,butter,pickles,sandwiches,meat,veggies,healthy,life,fulfillment,meaning,journey,path,career,job,college,hard,difficult,challenging,clubs
178,toaster,bread,butter,knife,fork,spoon,napkin,plate,silverware,table,chair,cushion,cotton,farmers,slavery,south,y\'all,fried chicken,sweet tea,leaves
179,toaster,toast,bread,carbs,biology,glycolysis,midterms,food,hungry,lab,rams,eggs,bacon,cheese,cake,chocolate,cookies,gym,protein,water
18,toaster,bread,crayon,negro,black,paste,computer,mouse,cheese,tomcat,fur,negro,black,cuckold,opposition,cat,jeans,genes,cell,automation
180,toaster,bread,jam,fruit,tree,soil,roots,nitrogen,chemistry,oxygen,air,carbon dioxide,plants,fruit,seeds,soil,bugs,birds,poop,car
181,toaster,bread,toast,wheat,rye,electricity,plug,burn,burnt,food,meal,tree,fry,eggs,ham,bagel,croissant,food lion,harris teeter,fire
182,toaster,bread,famine,hunger,health,disparity,rights,human,living,happy,prosperity,success,happy,travel,learn,friends,laugh,smile,enjoy,life
183,toaster,strudel,germany,herr,doktor,phd,ms,science,biology,purgatory,fire,hence,therefore,fix,dots,stop,motherfucker,pigs,holden,thorns
184,toaster,person,house,party,friday,keg,beer,pj,drink,fall,break,exams,pans,study,campus,class,econ,more pens,drink,pain reliever
185,toaster,oven,chicken,turkey,thanksgiving,pilgrims,boats,oceans,fish,nemo,clownfish,orange,clemson,tigers,lions,bears,dorothy,pigtails,pig,horses
186,toaster,bread,sandwich,lettuce,tomato,bacon,pork,meat,vegetarian,vegan,egg,cheese,wine,france,europe,travel,suitcase,pack,clothes,toothbrush
187,toaster,bagel,cream cheese,knife,fork,plate,glass,wine,bottle,beer,chips,salsa,tomatoes,mozzarella,oil,vinegar,salt,french fries,hamburger,grill
188,toaster,bread,butter,melt,ice,cold,water,swim,poo,summer,sunny,yellow,happy,smile,dentist,teeth,white,snow,winter,christmas
189,toaster,toast,butter,kitchen,tiles,eggs,bacon,biscuits,gravy,dining hall,rameses,student stores,chancellor folt,convocation,fetzer gym,unc basketball,cheerleaders,duke,nc state,college
19,toaster,pop tart,toast,electricity,plug,bills,food,applesauce,sleek style,old,cream cheese,hot,nob,broken,expensive,vacuum,crunchy,burnt,black,cook
190,toaster,toast,butter,milk,cows,farm,farmers,rural,woods,hunting,deer,meat,bacon,breakfast,eggs,fried eggs,burgers,grills,rappers,music
191,toaster,bread,lunch,coffee,italy,nangli,dancing,salsa,chips,spicy,work,money,exams,homework,mountains,failing,fall break,relax,family,exams
192,toaster,milk,strawberry,delicious,dinner,sleep,bed,pillow,white,comfortable,nap,relax,study,books,exam,midterm,frustrated,cram,a\'s,gpa
193,toaster,foster,children,morning,sun,warm,raining,cloudy,cold,dorm,sweater,school,class,paper,due,life,death,american studies,professor,find
194,toaster,bread,heat,steel,warm,red,orange,toast,metal,square,mine,hot,fire,white,color,green,blue,silver,burnt,yellow
195,toaster,brunch,sunny side,frying pan,fire,cobb,pizza,coke,soda,wendy\'s,davis,alpine,bagel,monday,spanish,study abroad,fall,family,vacation,fun
196,toaster,bread,jam,cheese,butter,flour,salt,pepper,machine,eggs,plates,utensils,knife,fridge,microwave,kitchen,table,drawer,time,fun
197,toaster,bread,good,butter,jam,brown,burnt,electricity,outlet,cord,plug,cracker,sandwich,dairy,napkin,butter knife,spoon,metal,hot,patience
198,toaster,cheese,onions,cats,dogs,cactus,rain,clouds,storms,water,house,trees,flowers,cars,roads,bridges,money,quarters,presidents,fish
199,toaster,bread,butter,smooth,plastic,material,cloth,knit,scarf,warm,winter,hot chocolate,happiness,traveling,france,countryside,vineyard,sandwich,cheese,grape
2,toaster,hot,beach,ocean,shark,bite,lip tattoos,ink,art,olivia,flowers,spring,green,broccoli,gross,inside out,movie theater,popcorn,chocolate,yum
20,toaster,lamp,vacuum,bread,butter,fork,knife,plug,electricity,plate,breakfast,spoon,food,meal,toast,brave,little,mars,ed,cheese
200,toaster,bread,jam,jelly,peanut butter,bottle,cap,water,river,earth,environment,pollution,human,terrible,death,nuke,president,war,nuclear codes,movie
201,toaster,bread,pudding,thanksgiving,home,old boyfriend,happy,dog,labrador retriever,sad,old boyfriend,ramapo college,hike,clams,banjo,ukulele,love songs,elvis,forest gump,jenny
202,toaster,bread,heat,toast,red,black,kitchen,machine,electronic,lines,oven,grill,brown,white,time,hot,burn,ash,dry,butter
21,toaster,toasted,toast,microwave,pony,fish,dime,extra,wonder,bread,man,woman,child,cottage,cheese,cake,minute,start,do,this
22,toaster,bread,sandwich,food,hungry,life,blister,blood,heart,life,grow,tall,big,bigger,dictionary,words,smart,english,life,world
23,toaster,toast,bread,breakfast,food,cereal,bowl,soup,spoon,chile,argentina,south,america,tea,britain,ireland,celts,rume,book,story
24,toaster,toast,bread,cheese,milk,2%,percent,100,grades,school,building,bricks,rocks,ground,dirt,bugs,insects,ants,food,sticky
25,toaster,toast,bread,pop tarts,bagels,cream cheese,butter,jelly,hot,electric,don\'t,put,forks,in,it,eggs,bacon,breakfast,cereal,jam
26,toaster,egg,bacon,man,eat,hunt,spear,dinosaur,meat,cook,fire,stick,punch,tree,bow,string,spider,zombie,eyes,teeth
27,toaster,bread,butter,oil,fat,chicken,meat,raw,humans,homo sapiens,neanderthal,evolution,biology,psychology,carson,suitemate,hinton james,morrison,housing,unc
28,toaster,toast,bread,butter,salt,shaker,pepper,grind,coffee,milk,dairy,cow,udders,black,white,field,grass,munch,chew,sun
29,toaster,toast,bread,butter,milk,cow,farm,pig,hay,horse,jockey,helmet,bike,pedestrian,walking,shoes,high heels,dress,pink,purple
3,toaster,bread,bread,butter,peanuts,walnuts,walmart,shopper,cashier,bellhop,hotel,tipton,london,mosby,disney,star wars,wookiee,r2d2,droid,apple
30,toaster,bread,pasta,spaghetti,marinara,red,blue,purple,color,royalty,king,queen,crown,royal,car,benz,mercedes,lewis,nfl,panthers
31,toaster,bread,oven,burnt,ham,food,turkey,thanksgiving,holiday,break,school,stress,test,midterm,okay,life,happiness,joy,peace,love
32,toaster,bread,breakfast,butter,golden,eggs,bacon,silver,buttons,lever,heat,silence,down,head,rock,egg,easter,hard-boiled,ugly,jealous
33,toaster,bunny,cracker,shoe,wrench,paint,wheel barrow,black,paint,pikachu,pool,china,pink,flower,dress,bike,ride,shoe,pikachu,voices
34,toaster,coffee,milk,ascott,scooby doo,cats,trees,tables,knees,white,black,actor,trees,india,pen,black,harmonics,link,smash bros,pit
35,toaster,bread,peanut butter,fridge,mill creek,apartment,bus,franklin,spicy 9,sushi,japan,planes,jeremih,music,rap,radio,spotify,computer,macbook,homework
36,toaster,bread,crust,burnt,crumbs,butter,cheese,chicken,egg,farm,home,tarboro,kid,brothers,family,childhood,school,college,hard,anxious
37,toaster,strudel,poodle,pink,france,paris,eiffel tower,belgium,waffle,cookie,syrup,sugar,canada,flag,leaf,gray,coach,raybanz,crayons,mom
38,toaster,bagel,mime,cell phone,quiet,watch,super smash bros,chair,pit,armpit,science,psychology,ring,science,real,cake,doll,umbrella,shoes,leaf
39,toaster,toast,butter,eggs,bacon,kitchen,plate,stove,table,counter,mom,sink,food,floor,dogs,countertop,bowls,water,ice,fridge
4,toaster,bread,white,people,fingers,pen,blue,sky,clouds,thoughts,meditation,mantra,relaxation,eyes,head,brain,pink,majin buu,fighting,man
40,toaster,bread,brown,coffee,beans,colombia,spanish,school,work,stress,anxiety,worry,relief,friends,soccer,msa,fun,balls,sports,sweat
41,toaster,bread,toaster oven,butter,biscuits,eggs,breakfast,dining hall,food,gravy,sandwiches,alpine bagels,coffee,tea,cream cheese,orange juice,healthy,immune system,flu shots,vaccine
42,toaster,bread,warm,crumbs,butter,jelly,peanut butter,jam,eggs,salt,pepper,juice,orange,tea,coffee,milk,sugar,creamer,biscuit,gravy
43,toaster,oven,bread,crispy,burnt,microwave,pizza,hotpockets,roommate,unhealthy,preservatives,cheese,freezer,leftovers,fridge,chicken,miracle whip,grill,charcoal,friends
44,toaster,bread,crumbs,burnt,fire alarm,panini,toaster oven,cooking,friends,quality time,apartment,off-campus,avocado,cheese,bagel,cream cheese,alpine,free food,unc,squirrels
45,toaster,oven,man,woman,child,play,school,groundskeeper,pitchfork,angry-mob,frankenstein,bride of frankenstein,lightening,storm,hurricane,ocean,breeze,beach,muscles,weights
46,toaster,bread,white,glue,wood,building,new york,city,beautiful,unc,blue,shirts,cups,beer,liquid,water,health,hydration,california,drought
47,toaster,bread,toast,butter,jelly,fish,eyeball,nose,breath,air,wind,death,dog,atmosphere,cloud,marshmallow,candy,potato,carrot,orange
48,toaster,butter,milk,coffee,caffeine,studying,library,unc,basketball,champion,world cup,football,jersey,stripe,polka dot,dress,sweetheart,boyfriend,date,calendar
49,toaster,toast,jelly,jam,fruit,apple,grape,cheese,hair,skirt,dress,bra,sky,ocean,tree,mountain,sheep,farm,cafe,baby
5,toaster,toast,bread,butter,milk,cow,farm,animals,nature,outdoors,trees,gardening,leaves,green,kermit,muppets,kids,summer camp,museum,programs
50,toaster,bread,gluten,sick,healthy,exercise,effort,success,failure,loss,future,study,learn,memorize,forget,remember,test,grade,measure,length
51,toaster,toast,butter,jam,strawberry,raspberry,blueberry,fruit,banana,yellow,sun,clouds,rain,pond,shore,sand,beach,wave,ocean,seagull
52,toaster,apple,strudel,dairy,milk,food,drink,fun,time,hour,clock,watch,pan,hand,finger,nail,hammer,knot,string,shoe
53,toaster,butter,yellow,flower,grave,stones,flask,alcohol,celebration,birthday,age,king,throne,jewels,diamond,ring,wife,husband,wedding,happiness
54,toaster,bread,butter,milk,carton,glass,ice,box,brown,green,grass,tree,leaf,sun,shine,yellow,orange,fruit,grape,peel
55,toaster,crumbs,bread,loaf,bag,paper,pen,utensil,salad,greens,collared,shirt,tee,golf,ball,chain,break,bone,saw,logs
56,toaster,bread,egg,brunch,sunday,homework,davis,alpine,coffee,milk,cereal,bowl,lazy,bed,room,slipper,rug,laptop,program,error
57,toaster,bread,wheat,gluten,glue,cows,beef,vegetarian,vegetable,carrot,ranch,salad,tomato,fruit,loom,loin,bible,jesus,crop,nouns
58,toaster,bread,jam,electricity,water,coffee,butter,cream cheese,two,brunch,sunday,morning,fat,carbohydrate,exercise,evil,avocado,egg,burrito,cute
59,toaster,oven,kitchen,bread,cheese,meat,lamp,table,refrigerator,stove,pan,pancakes,water,eggs,shell,yolk,fork,spoon,knife,butter
6,toaster,conversation,black light,datura,corner,tree,front yard,law school,column,greek,classics,tucker,michael,filmmaking,phillips,math,cryptography,petersen,east europe,hungary
60,toaster,toast,bread,jelly,peanut butter,chocolate,sweets,sugar,dessert,ice cream,cookies,chocolate chips,food,delicious,hunger,hungry,eating,bagels,cheese,macaroni
61,toaster,jam,peanut,butter,warm,soggy,knife,microwave,chocolate,apple,sandwich,breakfast,brunch,hot,expired,oven,fridge,table,silver,toast
62,toaster,toast,champagne,wedding,marriage,bride,groom,bachelor,party,champagne,glass,chandelier,falling,love,crush,flirt,joke,comedian,microphone,loud
63,toaster,oven,ketchup,celtic,marshmallow,pen,swirl,annoying,thumb,paper,sharing,coffee,noise,keys,car,bus,time,bandage,wound,tape
64,toaster,bread,mayonnaise,milk,cow,farm,country,flowers,forest,trees,sky,nature,space,open,black,dotted,stars,galaxy,universe,travel
65,toaster,bread,butter,pan,pancake,nera,remnant,internet,reddit,politics,trump,republican,lincoln,lincoln log,toys-r-us,lego,bionicle,lema,jungle,island
66,toaster,toast,bread,jelly,peanut butter,almonds,hazelnut,allergies,pollen,trees,tire swing,summer,hot,sweat,work,construction,hammer,tool,birdhouse,blue jay
67,toaster,toast,burn,crispy,jam,jelly,marmalade,butter,appliance,kitchen,bread,breakfast,knife,tasty,sandwich,crumbs,plate,oven,french toast,food
68,toaster,toast,boast,brave,butter,margarine,olive oil,olive spread,bread,bruschetta,appliance,jelly,apples,jam,strawberry,preserves,blender,mixer,marshmallows,rye
69,toaster,toast,bread,butter,breakfast,eggs,bacon,pancakes,orange juice,apple juice,milk,french toast,waffles,powder sugar,cake,doughnuts,muffins,chocolate chip,strawberries,blueberry
7,toaster,toast,bread,butter,pie,cake,bread,sandwich,jamn,ham,bread,dead,head,plant,sock,rock,man,plan,stan,ran
70,toaster,bread,carbs,nutrition,food,delicious,pizza,pepperoni,sauce,cheese,mozzarella,gouda,movie,popcorn,candy,unhealthy,sweet,sugar,spice,girl band
71,toaster,bread,butter,jelly,peanut,grapes,strawberry,fruit,salad,cucumber,lettuce,cheese,carrots,raisins,banana,cereal,fruit loops,cinnamon,sugar,cake
72,toaster,bread,butter,melted,lava,volcano,mountain,ocean,water,salt,surfing,beach,vacation,disney,television,game,of,thrones,dragon,fire
73,toaster,toast,bread,red,wagon,wheel,cart,spokes,sticks,wood,forest,trees,elves,rings,shire,hobbits,zealand,zelda,swords,triforce
74,toaster,bread,head,knowledge,grandma,whole,lava,graveyard,bagel,coffee,now,please,don\'t,alien,drama,failure,friend,poems,lake,home
75,toaster,nutella,cheese,bread,bagels,muffin,butter,jam,plate,pattern,tea,breakfast,shack,kit kat,study,procrastination,eat,full,nap,panic
76,toaster,blender,toast,breakfast,tatertots,ketchup,burnt,fries,arches,golden,crispy,fried,black,crumbs,metal,plug,warm,hot,strudel,bagel
77,toaster,bread,butter,milk,cows,spots,colors,green,trees,mountains,home,family,siblings,separate,different,opposites,dark,night,stars,beauty
78,toaster,strudel,poodle,poop,hoop,jimmy,corn,care,hair,rhino,jake,state,farm,avicii,song,bass,corp,fish,pole,grace
79,toaster,bread,toast,butter,burnt,milk,breakfast,eggs,milk,bacon,cheese,wheat,white,crust,cereal,raisins,flakes,oats,oatmeal,plug
8,toaster,space,monkey,pan,dog,bed,car,scorpion,tail,eat,lm,independence,brass,medal,microwave,dish,soup,ape,gorge,life
80,toaster,computer,hard drive,screws,package center,dorm,suite,walk,downhill,brick,cloudy,nice,good,food,yummy,full,sleep,nap,homework,cry
81,toaster,toast,bread,eggs,pan,fire,water,bottle,cap,hat,cat,dog,bone,chicken,cow,pig,tail,head,hair,braid
82,toaster,bread,toast,ham,cheese,sandwich,lettuce,tomato,mayonnaise,mustard,ketchup,omelette,eggs,yolk,crack,salami,turkey,wrap,spinach,tortilla
83,toaster,bread,bagel,breakfast,egg,bacon,meat,burger,sandwich,vegetable,broccoli,carrot,orange,green,goblin,monster,scary,castle,story,book
84,toaster,bread,jam,music,radio,station,space,star,wars,battle,history,class,professor,tall,lady,dress,skirt,clothes,fashion,show
85,toaster,hungry,pelicans,snowcone,hungry,class,lunch,tired,sleep,homework,hungry,sleep,homework,lazy,dinner,sleep,nap,lazy,eat,sleep
86,toaster,strudel,poptart,carbs,calories,numbers,math,school,sleep,nap,pillow,bed,class,test,food,dance,breakdance,hip hop,rap,waka flocka
87,toaster,bread,jam,peanut,tree,leaf,green,shirt,pants,shoes,laces,cartoon,kids,family,mom,hong kong,food,dim sum,carts,metal
88,toaster,toast,bread,crust,earth,mantle,magma,volcano,island,hawaii,tropical,fiji,water,cup,sparkling,soda,unhealthy,healthy,wholegrain,toast
89,toaster,burning,fire,ashes,gray,skies,clouds,cotton candy,sweet,sugar,fat,meat,steak,cow,grass,green,color,rainbow,rain,umbrella
